opti_flag_id,vecto_flag_id,x_tbs,y_tbs,z_tbs,n_threads,rank
1,1,1,16,16,13,0.56
2,3,256,2,8,14,0.75
1,1,16,4,1,16,0.71
1,2,16,8,128,1,0.95
3,4,64,256,32,24,0.22
1,3,1,128,8,22,0.93
1,2,256,32,64,12,0.43
1,1,2,32,64,25,0.22
3,2,32,64,1,29,0.7
3,4,8,8,4,27,0.78
2,2,1,16,64,14,0.82
2,2,4,16,2,26,0.18
2,4,16,256,1,5,0.07
3,1,64,64,256,17,0.22
1,1,2,16,1,22,0.18
2,4,128,32,4,24,0.32
2,3,32,2,16,22,0.5
3,4,128,1,128,8,0.7
2,3,1,128,4,21,0.18
1,4,32,32,32,10,0.46
3,3,8,256,16,21,0.76
2,2,32,16,4,8,0.26
3,4,4,256,32,18,0.63
1,4,256,32,16,21,0.61
2,3,128,64,64,11,0.04
2,3,1,32,8,4,0.07
1,4,8,2,2,8,0.37
1,3,4,256,2,10,0.21
3,2,32,1,8,27,0.5
3,2,2,4,256,9,0.13
3,3,64,2,256,13,0.23
2,4,16,2,128,28,0.6
3,4,1,1,4,8,0.4
1,3,8,2,2,29,0.31
2,3,128,4,32,10,0.04
3,2,2,16,1,30,0.68
2,4,2,8,32,23,0.14
1,4,1,8,4,9,0.92
2,1,8,2,1,23,0.8
3,4,256,32,8,9,0.87
2,1,32,4,4,28,0.3
3,4,256,16,1,18,0.06
3,1,2,1,16,7,0.69
1,3,32,8,32,13,0.49
3,4,256,256,1,8,0.96
2,3,8,128,8,28,0.18
1,3,1,128,1,8,0.26
3,1,16,1,256,6,0.4
1,1,1,128,1,16,0.39
1,2,64,8,128,25,0.79
1,4,32,16,128,7,0.33
1,1,8,32,4,19,0.79
1,3,64,256,2,7,0.38
3,3,8,8,16,7,0.73
2,4,8,8,256,29,0.52
3,1,64,4,128,23,0.62
3,2,1,4,32,27,0.82
1,3,4,64,4,6,0.91
3,3,8,2,8,17,0.08
2,4,4,64,1,7,0.92
2,2,1,4,8,30,0.31
3,2,8,8,1,14,0.84
2,3,1,64,32,5,0.9
1,1,4,8,256,9,0.19
3,1,2,16,64,31,0.38
3,1,2,16,8,3,0.1
1,1,256,1,4,13,0.42
3,2,1,32,16,9,0.28
2,1,256,32,32,3,0.83
1,1,256,256,128,24,0.33
1,4,128,8,4,10,0.05
3,2,128,4,32,8,0.66
1,2,32,2,4,9,0.27
2,2,256,4,8,27,0.15
1,2,8,8,32,9,0.08
1,4,8,16,4,16,0.96
1,1,64,4,4,10,0.45
3,1,4,8,128,1,0.43
2,2,16,4,16,32,0.96
3,3,1,1,256,30,0.31
